# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
13 13 0  69
        1         1 (208.333333333589,0)
        1         5 (52.083333333284131,0)
        1         8 (52.083333333510389,0)
        1        12 (104.1666666667945,0)
        2         2 (208.33333333333337,0)
        2         5 (52.083333333333329,0)
        2         6 (52.083333333333371,0)
        2        13 (104.16666666666669,0)
        3         3 (208.33333333299237,0)
        3         6 (52.083333333248092,0)
        3         7 (52.08333333324812,0)
        3        11 (104.16666666649618,0)
        4         4 (208.33333333333343,0)
        4         7 (52.083333333401967,0)
        4         8 (52.083333333264754,0)
        4        10 (104.1666666666667,0)
        5         1 (52.083333333284124,0)
        5         2 (52.083333333333329,0)
        5         5 (416.66666666638451,0)
        5         9 (104.16666666657486,0)
        5        12 (104.16666666652563,0)
        5        13 (104.16666666666664,0)
        6         2 (52.083333333333371,0)
        6         3 (52.083333333248092,0)
        6         6 (312.49999999974432,0)
        6        11 (104.16666666653882,0)
        6        13 (104.16666666662408,0)
        7         3 (52.08333333324812,0)
        7         4 (52.083333333401967,0)
        7         7 (416.66666666677071,0)
        7         9 (104.16666666673532,0)
        7        10 (104.16666666680386,0)
        7        11 (104.16666666658149,0)
        8         1 (52.083333333510389,0)
        8         4 (52.083333333264761,0)
        8         8 (416.66666666701525,0)
        8         9 (104.16666666673251,0)
        8        10 (104.16666666652947,0)
        8        12 (104.16666666697816,0)
        9         5 (104.16666666657486,0)
        9         7 (104.1666666667353,0)
        9         8 (104.16666666673251,0)
        9         9 (729.16666666683705,0)
        9        10 (104.16666666666663,0)
        9        11 (104.16666666670935,0)
        9        12 (104.16666666670928,0)
        9        13 (104.16666666670929,0)
       10         4 (104.1666666666667,0)
       10         7 (104.16666666680386,0)
       10         8 (104.16666666652947,0)
       10         9 (104.16666666666663,0)
       10        10 (416.66666666666663,0)
       11         3 (104.16666666649618,0)
       11         6 (104.16666666653883,0)
       11         7 (104.16666666658149,0)
       11         9 (104.16666666670935,0)
       11        11 (520.83333333299242,0)
       11        13 (104.16666666666669,0)
       12         1 (104.1666666667945,0)
       12         5 (104.16666666652563,0)
       12         8 (104.16666666697816,0)
       12         9 (104.16666666670928,0)
       12        12 (416.66666666700746,0)
       13         2 (104.16666666666669,0)
       13         5 (104.16666666666664,0)
       13         6 (104.16666666662408,0)
       13         9 (104.16666666670929,0)
       13        11 (104.16666666666669,0)
       13        13 (520.83333333333326,0)

