# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
13 13 0  69
        1         1 (0.0050000000000020445,0)
        1         5 (-1.5268629459733174e-014,0)
        1         8 (1.731386843790983e-014,0)
        1        12 (-0.0050000000000040897,0)
        2         2 (0.005000000000000001,0)
        2         5 (1.7631105993579088e-014,0)
        2         6 (-1.7631837830045516e-014,0)
        2        13 (-0.0050000000000000001,0)
        3         3 (0.0050000000000000018,0)
        3         6 (2.1723101832973879e-014,0)
        3         7 (-2.1720852113465972e-014,0)
        3        11 (-0.0050000000000000044,0)
        4         4 (0.0049999999999999975,0)
        4         7 (2.2518065970894563e-014,0)
        4         8 (-2.2520017534805037e-014,0)
        4        10 (-0.0049999999999999958,0)
        5         1 (-1.5268683669841798e-014,0)
        5         2 (1.7631105993579088e-014,0)
        5         5 (0.010000000000006771,0)
        5         9 (4.4086370838691824e-015,0)
        5        12 (-0.0049999999999959088,0)
        5        13 (-0.0050000000000176344,0)
        6         2 (-1.7631756514882579e-014,0)
        6         3 (2.1723183148136815e-014,0)
        6         6 (0.010000000000004092,0)
        6        11 (-0.0050000000000258163,0)
        6        13 (-0.0049999999999823666,0)
        7         3 (-2.1720906323574596e-014,0)
        7         4 (2.2518147286057499e-014,0)
        7         7 (0.0099999999999975039,0)
        7         9 (-3.2935893595764654e-015,0)
        7        10 (-0.0050000000000126402,0)
        7        11 (-0.0049999999999823675,0)
        8         1 (1.731386843790983e-014,0)
        8         4 (-2.25199362196421e-014,0)
        8         8 (0.0099999999999916336,0)
        8         9 (-3.1592567104055114e-015,0)
        8        10 (-0.0049999999999873592,0)
        8        12 (-0.0049999999999959088,0)
        9         5 (4.4087726091407431e-015,0)
        9         7 (-3.2935893595764654e-015,0)
        9         8 (-3.1593380255684478e-015,0)
        9         9 (0.019999999999997957,0)
        9        10 (-0.0050000000000000044,0)
        9        11 (-0.0049999999999918157,0)
        9        12 (-0.0050000000000040914,0)
        9        13 (-0.0050000000000000018,0)
       10         4 (-0.0049999999999999958,0)
       10         7 (-0.0050000000000126402,0)
       10         8 (-0.0049999999999873583,0)
       10         9 (-0.0050000000000000036,0)
       10        10 (0.02,0)
       11         3 (-0.0050000000000000044,0)
       11         6 (-0.0050000000000258154,0)
       11         7 (-0.0049999999999823675,0)
       11         9 (-0.0049999999999918148,0)
       11        11 (0.020000000000000004,0)
       11        13 (1.0028870095490916e-018,0)
       12         1 (-0.0050000000000040906,0)
       12         5 (-0.0049999999999959088,0)
       12         8 (-0.0049999999999959096,0)
       12         9 (-0.0050000000000040914,0)
       12        12 (0.02,0)
       13         2 (-0.0049999999999999992,0)
       13         5 (-0.0050000000000176344,0)
       13         6 (-0.0049999999999823666,0)
       13         9 (-0.0050000000000000018,0)
       13        11 (8.6736173798840355e-019,0)
       13        13 (0.020000000000000004,0)

